CODIGO_CARRERA,UNI_CODIGO,NOMBRE_CARRERA,NOMBRE_UNIVERSIDAD,REGION_CASA_MATRIZ,%_NOTAS,%_Ranking,%_LENG,%_MATE1,%_MATE2,%_HYCS,%_CIEN,EXIGE_MATE2,PROM_MINIMO_LENMAT,PONDERADO_MINIMO,VACANTES_1SEM,SC_1S,VACANTES_2SEM,SC_2S,RESTRINGE_SEXO,PRUEBA_ESPECIAL,TIPO_PE,PONDERACION_PE,PO_ALTERNATIVA,MAX_POST_UNIV,EXCLUYE_DESDE_PREFERENCIA,CDP_VACANTES_ESPECIALES,CAR_PEDAGOGIA,CAR_MIN_RKG,CAR_SEL_PEDA,PACE,CAR_VACANTES_PACE,REG_CODIGO,VACANTES_GENERO,CAR_CIENCIAS_TECNOLOGIA,ACREDITADA_3AHNOS
11001,11,ARQUITECTURA,UNIVERSIDAD DE CHILE,13,10,20,20,30,10,10.0,10.0,S,458,,120,30.0,85.0,,,N,,,S,21,21,5.0,N,,0,S,1,13,,N,
11003,11,ACTUACIÓN TEATRAL,UNIVERSIDAD DE CHILE,13,10,10,10,10,0,10.0,,N,458,,23,,,,,S,PONDERA,50.0,N,21,21,3.0,N,,0,S,2,13,,N,
11004,11,DISEÑO TEATRAL,UNIVERSIDAD DE CHILE,13,10,20,25,20,0,25.0,,N,458,,25,,,,,N,,,N,21,21,2.0,N,,0,S,1,13,,N,
11005,11,DISEÑO,UNIVERSIDAD DE CHILE,13,10,30,25,25,0,10.0,10.0,N,458,,65,20.0,50.0,,,N,,,S,21,21,5.0,N,,0,S,2,13,,N,
11011,11,"ARTES VISUALES, LIC. EN ARTES CON MENCIÓN EN",UNIVERSIDAD DE CHILE,13,10,20,35,10,0,25.0,,N,458,,90,7.0,,,,N,,,N,21,21,5.0,N,,0,S,2,13,,N,
11016,11,"TEORÍA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCIÓN EN",UNIVERSIDAD DE CHILE,13,10,20,35,10,0,25.0,,N,458,,40,,,,,N,,,N,21,21,3.0,N,,0,S,2,13,,N,
11017,11,TEORÍA DE LA MÚSICA,UNIVERSIDAD DE CHILE,13,10,20,30,15,0,25.0,,N,458,,20,3.0,,,,N,,,N,21,21,5.0,N,,0,S,1,13,,N,
11020,11,INGENIERÍA AGRONÓMICA,UNIVERSIDAD DE CHILE,13,20,40,10,20,0,10.0,10.0,N,458,,130,60.0,,,,N,,,S,21,21,5.0,N,,0,S,2,13,,N,
11021,11,INGENIERÍA FORESTAL,UNIVERSIDAD DE CHILE,13,10,35,10,25,0,20.0,20.0,N,458,,80,51.0,,,,N,,,S,21,21,5.0,N,,0,S,3,13,,N,
11022,11,MEDICINA VETERINARIA,UNIVERSIDAD DE CHILE,13,10,20,20,35,0,,15.0,N,458,,180,30.0,,,,N,,,N,21,21,5.0,N,,0,S,1,13,,N,
11024,11,INGENIERÍA EN RECURSOS NATURALES RENOVABLES,UNIVERSIDAD DE CHILE,13,20,40,10,15,5,10.0,10.0,S,458,,70,30.0,,,,N,,,S,21,21,8.0,N,,0,S,4,13,3.0,S,
11026,11,CONTADOR AUDITOR,UNIVERSIDAD DE CHILE,13,10,20,10,35,15,10.0,10.0,S,458,,72,27.0,,,,N,,,S,21,21,5.0,N,,0,S,1,13,,N,
11027,11,INGENIERÍA EN INFORMACIÓN Y CONTROL DE GESTIÓN,UNIVERSIDAD DE CHILE,13,10,20,10,35,15,10.0,10.0,S,458,,143,63.0,,,,N,,,S,21,21,5.0,N,,0,S,2,13,,N,
11028,11,PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA Y FÍSICA,UNIVERSIDAD DE CHILE,13,10,20,10,20,10,,30.0,S,458,,45,10.0,,,,N,,,N,21,21,3.0,S,,0,S,3,13,,N,S
11029,11,BIOLOGÍA CON MENCIÓN EN MEDIO AMBIENTE,UNIVERSIDAD DE CHILE,13,20,20,10,15,10,,25.0,S,458,,35,5.0,,,,N,,,N,21,21,3.0,N,,0,S,1,13,,S,
