Código,Descripción
310,Enseñanza  Media H-C niños y jóvenes
360,Educación  Media H-C adultos vespertino y nocturno (Decreto N° 190/1975)
361,Educación  Media H-C adultos (Decreto N° 12/1987)
362,Escuelas Cárceles (Media Adultos)
363,Educación Media H-C Adultos (Decreto N°239/2004)
410,Enseñanza  Media Técnico –Profesional Comercial Niños
460,Educación  Media T-P Comercial Adultos (Decreto N°  152/1989)
461,Educación  Media T-P Comercial Adultos (Decreto N°  152/1989)
463,Educación  Media T-P Comercial Adultos (Decreto N°  239/2004)
510,Enseñanza Media T-P Industrial Niños
560,Educación  Media T-P Industrial Adultos (Decreto N°  152/1989)
561,Educación  Media T-P Industrial Adultos (Decreto N°  152/1989)
563,Educación  Media T-P Industrial Adultos (Decreto N°  239/2004)
610,Enseñanza Media T-P Técnica Niños
660,Educación  Media T-P Técnica Adultos (Decreto N°  152/1989)
661,Educación  Media T-P Técnica Adultos (Decreto N°  152/1989)
663,Educación  Media T-P Técnica Adultos (Decreto N°  239/2004)
710,Enseñanza Media T-P Agrícola Niños
760,Educación  Media T-P Agrícola Adultos (Decreto N°  152/1989)
761,Educación  Media T-P Agrícola Adultos (Decreto N°  152/1989)
763,Educación  Media T-P Agrícola Adultos (Decreto N°  239/2004)
810,Enseñanza Media T-P Marítima Niños
860,Enseñanza Media T-P Marítima Adultos (Decreto N°  152/1989)
863,Enseñanza Media T-P Marítima Adultos (Decreto N°  1000/2009)
910,Enseñanza Media Artística Niños y Jóvenes
963,Enseñanza Media Artística Adultos
