Variable,Detalle
ID_aux,Indentificador único del postulante
PROMEDIO_NOTAS,Promedio de notas de la educación media
PORC_SUP_NOTAS,Pertenece al porcentaje superior de notas 
PTJE_NEM,Puntaje estándar asignado al promedio general de notas.
PTJE_RANKING,Puntaje estándar asignado al promedio de notas 
CLEC_REG_ACTUAL,Puntaje obtenido en la prueba de Competencia Lectora Regular actual
MATE1_REG_ACTUAL,Puntaje obtenido en la prueba de Competencia  Matemática 1 Regular Actual
MATE2_REG_ACTUAL,Puntaje obtenido en la prueba de Competencia  Matemática 2 Regular Actual
HCSOC_REG_ACTUAL,Puntaje obtenido en la prueba de Histora Regular actual
CIEN_REG_ACTUAL,Puntaje obtenido en la prueba de Ciencias Regular Actual
MODULO_REG_ACTUAL,Modulo rendido en la prueba de Ciencias Regular actual
,BIO: Biología 
,FIS: Física
,QUI: Química
,TEC: Tecnico profesional
CLEC_INV_ACTUAL,Puntaje obtenido en la prueba de Competencia Lectora Invierno actual
MATE1_INV_ACTUAL,Puntaje obtenido en la prueba de Competencia Matemática 1 Invierno actual
MATE2_INV_ACTUAL,Puntaje obtenido en la prueba de Competencia Matemática 2 Invierno actual
HCSOC_INV_ACTUAL,Puntaje obtenido en la prueba de Histora Invierno actual
CIEN_INV_ACTUAL,Puntaje obtenido en la prueba de Ciencias Invierno actual
MODULO_INV_ACTUAL,Modulo rendido en la prueba de Ciencias Invierno actual
,BIO: Biología 
,FIS: Física
,QUI: Química
,TEC: Tecnico profesional
CLEC_REG_ANTERIOR,Puntaje obtenido en la prueba de Competencia lectora regular anterior
MATE1_REG_ANTERIOR,Puntaje obtenido en la prueba de Competencia Magtemática 1 regular anterior
MATE2_REG_ANTERIOR,Puntaje obtenido en la prueba de Competencia Matemática 2 regular anterior
HCSOC_REG_ANTERIOR,Puntaje obtenido en la prueba de Histora anterior
CIEN_REG_ANTERIOR,Puntaje obtenido en la prueba de Ciencias anterior
MODULO_REG_ANTERIOR,Modulo rendido en la prueba de Ciencias anterior
,BIO: Biología 
,FIS: Física
,QUI: Química
,TEC: Tecnico profesional
CLEC_INV_ANTERIOR,Puntaje obtenido en la prueba de Comprensión Lectora Invierno anterior
MATE1_INV_ANTERIOR,Puntaje obtenido en la prueba de Competencia Matemática 1 Invierno anterior
MATE2_INV_ANTERIOR,Puntaje obtenido en la prueba de Competencia Matemática 2 Invierno anterior
HCSOC_INV_ANTERIOR,Puntaje obtenido en la prueba de Histora Invierno anterior
CIEN_INV_ANTERIOR,Puntaje obtenido en la prueba de Ciencias Invierno anterior
MODULO_INV_ANTERIOR,Modulo rendido en la prueba de Ciencias Invierno anterior
,BIO: Biología 
,FIS: Física
,QUI: Química
,TEC: Tecnico profesional
RBD,Rol Base de Datos.  Código   numérico   usado   por   el   MINEDUC   para   identificar   el   LOCAL EDUCACIONAL.
COD_ENS,Código de enseñanza MINEDUC. 
RAMA_EDUCACIONAL,Rama educacional del establecimiento de egreso
,H1. Humanista cientifico Diurno
,H2. Humanista científico Nocturno
,H3. Humanista científico - validación de estudios
,H4. Humanista científico - Reconocimiento de estudios
,T1. Técnico profesional comercial
,T2. Técnico profesional Industrial
,T3. Técnico profesional Servicios y técnica
,T4. Técnico profesional agrícola
,T5. Técnico profesional Marítima
GRUPO_DEPENDENCIA,"Dependencia administrativa del establecimiento de egreso, según norma universidades."
,1. Particular pagado
,2. Particular subvencionado
,3. Municipal
,4. Servicio Local de Educación
CODIGO_REGION,Código de la región del establecimiento de egreso
CODIGO_COMUNA,Código de la comuna del establecimiento de egreso
SITUACION_EGRESO,Tipificación de los estudios cursados por el postulante.
,1. Promoción del Año: Nacional – alumno regular
,2. Promoción del Año: Nacional – validación de estudios
,3. Promoción del Año: Extranjero – con algún curso en Chile
,4. Promoción del Año: Extranjero – no acredita notas
,5. Promoción Anterior: Nacional –  alumno regular
,6. Promoción Anterior: Nacional – validación de estudios
,7. Promoción Anterior Extranjero – con algún curso en Chile
,8. Promoción Anterior Extranjero – no acredita notas
