PROCESO,CODIGO_CARRERA,UNI_CODIGO,NOMBRE_CARRERA,NOMBRE_UNIVERSIDAD,REGION_CASA_MATRIZ,%_NOTAS,%_Ranking,%_LENG,%_MATE1,%_MATE2,%_HYCS,%_CIEN,EXIGE_MATE2,PROM_MINIMO_LENMAT,PONDERADO_MINIMO,VACANTES_1SEM,SC_1S,VACANTES_2SEM,SC_2S,PRUEBA_ESPECIAL,TIPO_PE,PONDERACION_PE,PO_ALTERNATIVA,CDP_VACANTES_ESPECIALES,CAR_PEDAGOGIA,CAR_MIN_RKG,CAR_SEL_PEDA,PACE,CAR_VACANTES_PACE,REG_CODIGO,VACANTES_GENERO,CAR_CIENCIAS_TECNOLOGIA
2026,11001,11,ARQUITECTURA,UNIVERSIDAD DE CHILE,13,10,20,20,30,10,10.0,10.0,S,458,,120,30.0,90.0,,N,,,S,5.0,N,,0,S,2,13,,N
2026,11003,11,ACTUACIÓN TEATRAL,UNIVERSIDAD DE CHILE,13,10,10,10,10,0,10.0,,N,458,,23,,,,S,PONDERA,50.0,N,3.0,N,,0,S,3,13,,N
2026,11004,11,DISEÑO TEATRAL,UNIVERSIDAD DE CHILE,13,10,20,25,20,0,25.0,,N,458,,25,,,,N,,,N,2.0,N,,0,S,2,13,,N
2026,11005,11,DISEÑO,UNIVERSIDAD DE CHILE,13,10,30,25,25,0,10.0,10.0,N,458,,65,20.0,50.0,,N,,,S,5.0,N,,0,S,3,13,,N
2026,11011,11,"ARTES VISUALES, LIC. EN ARTES CON MENCIÓN EN",UNIVERSIDAD DE CHILE,13,10,20,35,10,0,25.0,,N,458,,90,7.0,,,N,,,N,5.0,N,,0,S,3,13,,N
2026,11016,11,"TEORÍA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCIÓN EN",UNIVERSIDAD DE CHILE,13,10,20,35,10,0,25.0,,N,458,,40,,,,N,,,N,2.0,N,,0,S,3,13,,N
2026,11017,11,TEORÍA DE LA MÚSICA,UNIVERSIDAD DE CHILE,13,10,20,30,15,0,25.0,,N,458,,20,,,,N,,,N,5.0,N,,0,S,2,13,,N
2026,11020,11,INGENIERÍA AGRONÓMICA,UNIVERSIDAD DE CHILE,13,20,40,10,20,0,10.0,10.0,N,458,,130,70.0,,,N,,,S,3.0,N,,0,S,3,13,,N
2026,11021,11,INGENIERÍA FORESTAL,UNIVERSIDAD DE CHILE,13,10,35,10,25,0,20.0,20.0,N,458,,80,51.0,,,N,,,S,5.0,N,,0,S,4,13,,N
2026,11022,11,MEDICINA VETERINARIA,UNIVERSIDAD DE CHILE,13,10,20,20,35,0,,15.0,N,458,,180,30.0,,,N,,,N,5.0,N,,0,S,2,13,,N
2026,11024,11,INGENIERÍA EN RECURSOS NATURALES RENOVABLES,UNIVERSIDAD DE CHILE,13,20,40,10,15,5,10.0,10.0,S,458,,65,40.0,,,N,,,S,8.0,N,,0,S,5,13,5.0,S
2026,11026,11,CONTADOR AUDITOR,UNIVERSIDAD DE CHILE,13,10,20,10,35,15,10.0,10.0,S,458,,72,27.0,,,N,,,S,3.0,N,,0,S,2,13,,N
2026,11027,11,INGENIERÍA EN INFORMACIÓN Y CONTROL DE GESTIÓN,UNIVERSIDAD DE CHILE,13,10,20,10,35,15,10.0,10.0,S,458,,143,63.0,,,N,,,S,3.0,N,,0,S,3,13,,N
2026,11028,11,PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA Y FÍSICA,UNIVERSIDAD DE CHILE,13,10,20,20,20,15,,15.0,S,458,,55,5.0,,,N,,,N,5.0,S,,0,S,4,13,,N
2026,11029,11,BIOLOGÍA CON MENCIÓN EN MEDIO AMBIENTE,UNIVERSIDAD DE CHILE,13,10,20,20,10,15,,25.0,S,458,,35,5.0,,,N,,,N,3.0,N,,0,S,2,13,,S
