ID_aux,RBD,COD_ENS,GRUPO_DEPENDENCIA,RAMA_EDUCACIONAL,SITUACION_EGRESO,CODIGO_REGION,CODIGO_COMUNA,PROMEDIO_NOTAS,PORC_SUP_NOTAS,PTJE_NEM,PTJE_RANKING,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,MODULO_REG_ACTUAL,CLEC_INV_ACTUAL,MATE1_INV_ACTUAL,MATE2_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,MODULO_INV_ACTUAL,CLEC_REG_ANTERIOR,MATE1_REG_ANTERIOR,MATE2_REG_ANTERIOR,HCSOC_REG_ANTERIOR,CIEN_REG_ANTERIOR,MODULO_REG_ANTERIOR,CLEC_INV_ANTERIOR,MATE1_INV_ANTERIOR,MATE2_INV_ANTERIOR,HCSOC_INV_ANTERIOR,CIEN_INV_ANTERIOR,MODULO_INV_ANTERIOR,RINDIO_PROCESO_ANTERIOR,RINDIO_PROCESO_ACTUAL
id_478004778804,11284,363,3,H2,1,6,6101,6.45,10,844,870,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_9368993476831,11246,363,3,H2,1,6,6115,0.0,0,0,0,540,508,0,0,481,BIO,,,,,,,,,,,,,,,,,,,0,1
id_9262992076292,15535,363,3,H2,1,6,6115,6.3,40,802,921,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_9303993470317,15535,363,3,H2,1,6,6115,6.75,10,929,1000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_9352993575228,11284,363,3,H2,1,6,6101,6.8,10,943,978,492,486,0,628,0,,,,,,,,,,,,,,,,,,,,0,1
id_9065990876534,11284,363,3,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_9306993470613,15535,363,3,H2,1,6,6115,5.95,50,703,775,477,0,0,0,160,QUI,,,,,,,,,,,,,,,,,,,0,1
id_9369993476992,15535,363,3,H2,1,6,6115,5.6,70,604,629,0,0,0,432,0,,,,,,,,,,,,,,,,,,,,0,1
id_9629996072978,11246,363,3,H2,1,6,6115,0.0,0,0,0,492,526,0,561,0,,,,,,,,,,,,,,,,,,,,0,1
id_9644996674494,15759,363,3,H2,1,6,6108,0.0,0,0,0,484,421,409,418,415,BIO,,,,,,,,,,,,,,,,,,,0,1
