AGNO,RBD,DGV_RBD,NOM_RBD,TIPO_SOST,COD_REG_RB,NOM_REG_RB,COD_PRO_RB,COD_COM_RB,NOM_COM_RB,COD_DEPROV,NOM_DEPROV,TIPO_DEPEN,DIRECCION,NUMERO,REFERENCIA,LATITUD,LONGITUD,MAT_PARV,MAT_BAS_RE,MAT_BAS_AD,MAT_ESP,MAT_MHC_RE,MAT_MHC_AD,MAT_MTP_RE,MAT_MTP_AD,MAT_TOTAL,MAT_HOM_TO,MAT_MUJ_TO,MAT_SI_TOT,CUR_SIM_TO,CUR_COMB_T
2021,8484,0,ESCUELA PUERTO TORO,1.0,12,MAG,122,12201,CABO DE HORNOS,121,MAGALLANES,1.0,GABRIELA MISTRAL,24.0,PUERTO TORO - PUERTO WILLIAMS MEDIO MARITIMO HACIA PUERTO TORO 3 HORAS DE NAVEGACION COMUNA CABO DE HORNOS,-55.083172,-67.076218,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,4.0,0.0
2021,8483,2,LICEO BICENTENARIO DONALD MC-INTYRE GRIFFITHS,1.0,12,MAG,122,12201,CABO DE HORNOS,121,MAGALLANES,1.0,YELCHO,158.0,YELCHO N° 158 PUERTO WILLIAMS,-54.934799,-67.605339,55.0,277.0,0.0,0.0,92.0,0.0,0.0,0.0,424.0,212.0,212.0,0.0,15.0,0.0
2021,24341,8,ESCUELA PAMPA GUANACO,1.0,12,MAG,123,12303,TIMAUKEL,121,MAGALLANES,1.0,SECTOR PAMPA GUANACO,0.0,"SECTOR PAMPA GUANACO, TIMAUKEL",-54.052231,-68.802948,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0
2021,8452,2,ESCUELA DE PUERTO HARRIS,1.0,12,MAG,121,12101,PUNTA ARENAS,121,MAGALLANES,1.0,PUERTO HARRIS - ISLA DAWSON,0.0,PUERTO HARRIS-ISLA DAWSON,-53.834999,-70.453369,11.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,29.0,23.0,0.0,0.0,2.0
2021,8482,4,ESCUELA IGNACIO CARRERA PINTO,1.0,12,MAG,123,12303,TIMAUKEL,121,MAGALLANES,1.0,CAMERON,0.0,PROVINCIA TIERRA DEL FUEGO    COMUNA TIMAUKEL,-53.63903,-69.64666,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,9.0,0.0,2.0,2.0
2021,8475,1,ESCUELA LIBERTADOR BDO. O´HIGGINS R.,1.0,12,MAG,123,12301,PORVENIR,121,MAGALLANES,1.0,CHILOE,606.0,,-53.296082,-70.372093,61.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,295.0,277.0,0.0,20.0,0.0
2021,40311,3,COLEGIO CAUPOLICAN,1.0,12,MAG,123,12301,PORVENIR,121,MAGALLANES,2.0,AVENIDA MANUEL SEÑORET,0.0,"INTERIOR REGIMIENTO REFORZADO Nº11 CAUPOLICÁN,  PORVENIR",-53.295397,-70.354744,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,34.0,0.0,0.0,2.0,0.0
2021,16895,5,COLEGIO MARIA AUXILIADORA,1.0,12,MAG,123,12301,PORVENIR,121,MAGALLANES,2.0,PADRE MARIO ZAVATTARO,399.0,,-53.2953,-70.3675,42.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,137.0,152.0,0.0,10.0,0.0
2021,40217,6,ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR,1.0,12,MAG,123,12301,PORVENIR,121,MAGALLANES,2.0,BERNARDO PHILLIPI,42.0,,-53.293586,-70.369603,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0,16.0,10.0,0.0,2.0,0.0
2021,8474,3,LICEO POLIVALENTE HERNANDO DE MAGALLANES,1.0,12,MAG,123,12301,PORVENIR,121,MAGALLANES,1.0,HERNANDO DE MAGALLANES,618.0,"CALLE MAGALLANES Nº618, ENTRE MUÑOZ GAMERO Y SANTOS MARDONES, LADO SUR Y CALLE ESMERALDA, ENTRE MUÑOZ GAMERO Y SANTOS MARDONES, LADO NORTE.",-53.291279,-70.373123,0.0,0.0,0.0,0.0,286.0,39.0,38.0,0.0,363.0,195.0,168.0,0.0,14.0,0.0
